,Date,User,Tweet
76,2023-06-15 18:20:03+00:00,lo_lo366,"#thechilde
#kimseonho"
77,2023-06-15 18:03:39+00:00,flrlakskfhs,"right person, right writer, right director, right story
#HometownChaChaCha #KimSeonHo #ShinMinAh https://t.co/gBuXVy9HsU"
78,2023-06-15 18:01:46+00:00,flrlakskfhs,"“You came”                                 “You called”
#HometownChaChaCha #KimSeonHo #ShinMinAh https://t.co/ZWLpcvZDGg"
79,2023-06-15 17:52:20+00:00,seon_sushi,Seriously???? Wait what? How about Hong Kong ?? Boycott?? Woaahhhh chincha ? Every other countries getting to watch … how about us ??? We want The Childe in Hong Kong too .. jebal🙏🏽🙏🏽🙏🏽🙏🏽 #Kimseonho #김선호  #ThechildeinHongkong😭😭😭
80,2023-06-15 17:21:10+00:00,gheenamae,"USA Chingus! Well Go just confirmed!
#TheChilde #KimSeonHo #wellgousa

Screenings will be held at:
CGV Cinemas Buena Park LA
CGV Cinemas Movie Theater LA
Cinemark Legacy Dallas
Regal Dole Cannery, Honolulu, 
Regal Fairfax Towne Center, Virginia
Regal Medlock Crossing, Atlanta"
81,2023-06-15 17:18:33+00:00,mila_mbk,"Acreditem ou não,
Esse safado
Tem 37 Anos,
Mas ele está tá conservado;
Se quiserem ter essa cara,
Quanto tiverem 37,
Eu sugiro que comprem,
Produtos Ivone 
#KimSeonHo

https://t.co/coOGRyevKa"
82,2023-06-15 17:16:25+00:00,ditto02,"And now I see daylight..... #귀공자 #คิมซอนโฮ #김선호 #キムソンホ #seonho__kim #キムソンホ #KIMSEONHO  
📸@irene_shhd thankyou💙 https://t.co/Fe8d3vVJdK"
83,2023-06-15 17:11:14+00:00,mila_mbk,"Realmente o mundo não gira ele capota, ano passado meu Pitico ganhando 4 prêmios, esse ano participando do Concerto pré-evento, pra chamar o pessoal pro Evento, eita como engaja!

#2023AAABeginningConcert #KIMSEONHO 
#StarnewsKorea

https://t.co/2TgA4363JQ"
84,2023-06-15 17:02:16+00:00,mila_mbk,"Saudade do meu cheirinho de Johnson's Baby, chamado #KimSeonHo
https://t.co/SjRGdxGopC"
85,2023-06-15 16:58:39+00:00,fatimabr30911,"#김선호 ◡̈
#KimSeonHo 💙
#KimSeonHoFCArgentino🇦🇷
#KimSeonHoFCLatino 🌎
#VotacionesKSHLatinoamerica https://t.co/bBYAaEL8pB"
86,2023-06-15 16:51:40+00:00,widabarito,Pusing banget ngeliatin kim seon ho 🫠🫠
87,2023-06-15 16:46:50+00:00,pacarseonhokim,"@bel_in_da_t omggg chingu, you literally make me scared to finish it, but absolutely i should!! so dugeun-dugeun🫠 please pray for me to stay strong🥹🥹🥹"
88,2023-06-15 16:26:05+00:00,pacarseonhokim,"finally had a chance to read this novel peacefully after this tiring day. seriously i couldn’t even stop, if i wasn’t remembering that tomorrow is still Friday😭😭😭 but already reached the half pages!!! literally so tense! https://t.co/ycUqAcb82R"
89,2023-06-15 16:20:19+00:00,orange_saran,"映画『 #貴公子 』の #キムソノ 、「映画の中の僕の姿が不思議…頑張らなければという気持ちだけ」 https://t.co/DJfafhIYUt
#KBSWORLD #KBSJAPAN
#귀공자_6월21일_대개봉  
#귀공자  #TheChilde   
#김선호 #KimSeonHo #キムソンホ https://t.co/gBpRfpOgdj"
90,2023-06-15 16:19:50+00:00,KimSeonHoFCLat,"📷  Publica la foto y el enlace en Choeaedol con los hashtags del grupo #KimSeonHoFCLatino #KimSeonHo y la bandera de tu país para ganar 100

📎Enlace de YouTube
https://t.co/UvIFADzYDf https://t.co/p6ODpP7y4t"
91,2023-06-15 16:19:49+00:00,KimSeonHoFCLat,"🎥 16.06 KST Video/Gif Reinicio Choeaedol Celeb

Siempre serás nuestro hermoso Kim Seon Ho 💙

Esperamos con cariño sus stickers y corazones a nuestro gif grupal.

https://t.co/HBT4IHhN5G

Créditos: GisSeonHo de Perú 🇵🇪

#KimSeonHo
#김선호 ◡̈ 💙
#KimSeonHoFCLatino 🌎 https://t.co/eRz7GLKWA1"
92,2023-06-15 16:18:04+00:00,SaSo46684888,#KimSeonHo
93,2023-06-15 16:10:07+00:00,kdragontwt,"Every. Single. Time. 😎
Dushik who? 😄

""First of all, what I was most looking forward to was actor #KimSeonHo's acting. How well can you bring your character to life? He digested it so well that I can't even remember the romance drama before.""
#TheChilde

https://t.co/kGlYAK4MzR"
94,2023-06-15 16:04:59+00:00,orange_saran,"#キムソノ 、「 #貴公子 」で自分自身を見ることができなかったと認める - その理由は次のとおりです
#귀공자_6월21일_대개봉  
#귀공자  #TheChilde   
#김선호 #KimSeonHo #キムソンホ https://t.co/N64u8gb5n3"
95,2023-06-15 15:57:44+00:00,add_wannee,"เมื่อมองย้อนกลับไป เราผ่านเรื่องราวอะไรมาด้วยกันตั้งมากมาย สุดท้ายทุกเรื่องราวล้วนพาให้เราโตขึ้น ได้เข้าใจคุณค่าของคำว่ารอได้มากขึ้น  ขอบคุณเสมอที่เข้มแข็งและกลับมาหาพวกเรา งานภาพครั้งนี้ยิ่งทำให้รู้ ไม่ใช่แค่เราที่รอ 
พวกเราก็จะอยู่ที่เดิมเสมอคอยมองการเติบโตของพินะ🤟
#KimSeonHo https://t.co/eqo8nXjlOR"
96,2023-06-15 15:50:08+00:00,bcseoulfinds,"For sale, Php 200 each. Take all niyo na po ◡̈ ETA June 24. 

PAYO, MAYA, GCASH only

KIM SEON HO PHOTO EXHIBITION MERCH OFFICIAL MD film stickers

Wts lfb ph only https://t.co/RyS9ehLmMv"
97,2023-06-15 15:46:02+00:00,kimseonho27,"กำลังใจวันพฤหัส 🟠🟧 166/365 ดูคลิปนี้เพลินมาก รู้สึกเขิล ☺️😆 ประหนึ่งพิซอนนั่งคุยกับช้าน 🤣😆 #คิมซอนโฮ #KimSeonHo 
 https://t.co/gdBqGDqTNX"
98,2023-06-15 15:35:20+00:00,aeyshalatif,"#KimSeonHo #TouchingTheVoid 

Seonjoe you will always be missed https://t.co/NtTMJcKjc5"
99,2023-06-15 15:32:19+00:00,yellowhiffle,"teruntuk sayangku kim seon ho semoga kamu tetap dlm keadaan sehat dan bahagia selalu yaaah
pokonya kalo tiap tahun fm ke jkt insyaallah w dtngin🤣"
100,2023-06-15 15:31:24+00:00,thecodeofmine,@meowwlisa katanya uzui tengen
101,2023-06-15 15:30:05+00:00,Tukkatamickie37,"230613 귀공자 Stage Greeting 👏🏻👏🏻

#귀공자 
#김선호 
#kimseonho
#คิมซอนโฮ

📌 https://t.co/nN4ZLFQen7 https://t.co/XfdgFuQnTN"
102,2023-06-15 15:29:33+00:00,thecodeofmine,yaAllah baru selesai nonton queenmaker trus… trus gmn ini kok nanggung bgt😭😭😭😭😭😭
103,2023-06-15 15:24:43+00:00,orange_saran,"#귀공자_6월21일_대개봉  
#귀공자  #TheChilde   #貴公子
#김선호 #KimSeonHo
#キムソノ #キムソンホ
https://t.co/L5OiSNjFBN"
104,2023-06-15 15:22:39+00:00,RupsChalke,"#KimSeonho #김선호 
#TheChilde #귀공자"
105,2023-06-15 15:19:03+00:00,seon__holic,"🗓️ 2023.06.16
D-5 #TheChilde #귀공자
📉9, No. 14 Daily Box Office
🔗 https://t.co/RFveXAcWMR
#김선호 #KimSeonho https://t.co/r7fchLopxl"
106,2023-06-15 15:13:43+00:00,seontora,#김선호 #キムソンホ #キムソノ  #kimseonho  #金宣虎 #귀공자 #thechilde
107,2023-06-15 15:13:26+00:00,seontora,#김선호 #キムソンホ #キムソノ  #kimseonho  #金宣虎
108,2023-06-15 15:13:14+00:00,seonkissedboy,"230612 사랑하기 좋은날 이금희입니다

너는 항상 빛에 반짝일 테니까 ♪♫

#kimseonho #คิมซอนโฮ #김선호 https://t.co/ceTfVXo67N"
109,2023-06-15 15:12:08+00:00,kaofang_f,"YOKOHAMA PIA ARENA capacity = 10,000
ARANETA COLISEUM capacity = 16,500!!
เปนลมมม
อีนจินอย่าให้พิซอนกินน้ำเยอะนะ 😆
#คิมซอนโฮ #KimSeonHo"
110,2023-06-15 15:03:32+00:00,Hyeona_MM,หล่อจัง😎😎 #คิมซอนโฮ #kimseonho #김선호 #김선호배우님 #キムソンホ #金宣虎 https://t.co/4un5nqnhxv
111,2023-06-15 14:59:10+00:00,NargleInAFez,Cha Eun Woo and Kim Seon Ho are coming to the PH next month for their FMs. that's how crazy it is here. now bring Go Youn Jung!
112,2023-06-15 14:57:26+00:00,hanxzel,"Kalo ada yang butuh jasa buat daftar isi dan penomoran halaman proposal/skripsi/artikel/makalah/laporan/essay langsung wa ada di bio yukk

#zonauang #zonacuan #zonaBU #jasatugas #jokitugaskuliah #jokitugas #jisoo #jennie #KimSeonHo #DrRomantic3Ep14 #SECRET_NUMBER"
113,2023-06-15 14:55:16+00:00,dzilmayo,"See you ulit sa July! Sinusubukan mo talaga wallet (ng asawa) ko ha! 🤪

#KimSeonHo https://t.co/3tKxHeaCJZ"
