,Date,User,Tweet
101,2023-06-22 14:59:56+00:00,txtbyurstruly,#TheChilde is the fresh direction of Park Hoon Jung's world and i love almost every seconds of it. Kim Seonho was exceptionally great and so does Kim Kangwoo. https://t.co/GfBJYSJSai
102,2023-06-22 14:59:18+00:00,omkaz12,"The childe stage greeting

6/29 Wansimni CGV 18:40~20:48 Center A2seat - 100,000
6/29 Wansimni CGV 16:10~18:18  A2Seat - 70,000
6/29 cheongnyangni 14:50~16:57 A2Seat 2연석 - 70,000

#귀공자 #귀공자무대인사 #김선호 
#KimSeonHo #TheChilde #StageGreeting #seoul https://t.co/zkSpZZygjD"
103,2023-06-22 14:58:11+00:00,sooomaca,Aku rela nonton sendiri malam2 demi liat kamu secepetnya cayang 😍 kerennn bgt dia jd karakter yg begitu 😭😭 Pokoknya love you seonho 💖 #TheChilde https://t.co/wv9Q8Vnri4
104,2023-06-22 14:55:12+00:00,fluffycottonsea,kim seonho đẹp trai quá tôi muốn chếttttttttttttt 😭😭😭🫶🏻🫶🏻🫶🏻 i love him so muchhhhhhhhh arghhhhhh 😭😭😭 #thechilde #kimseonho #귀공자 https://t.co/qEZN8274t1
105,2023-06-22 14:54:34+00:00,hysqyyyy,"Comeback nya gak main""! Keren bgttt wajib nonton sih!! 🥰 #thechilde https://t.co/5JTdTE2Ajp"
106,2023-06-22 14:54:08+00:00,omkaz12,"귀공자 무대인사 양도

6/29 왕십리 CGV 18:40~20:48 A열 정중앙 2연석 - 100,000
6/29 왕십리 CGV 16:10~18:18 A열 사블 통로쪽 2연석 - 70,000
6/29 청량리 롯시 14:50~16:57 A열 사블 통로쪽 2연석 - 70,000

#귀공자 #귀공자무대인사 #김선호 #KimSeonHo #TheChilde #StageGreeting #seoul https://t.co/mgNgFeQlfD"
107,2023-06-22 14:53:14+00:00,mawardankumbang,"@WatchmenID Kamu bukan bagian dari mereka/ 10
#thechilde"
108,2023-06-22 14:52:05+00:00,yststheonlyone,"Menu hari ini:

#Elemental some cute little romcomination (romcom animation)

#TheChilde Kim Seon-ho badass bgt anj.. uhuk uhuk uhuk https://t.co/h0sAQ1AK7g"
109,2023-06-22 14:49:06+00:00,orange_saran,"🌟  #귀공자 드.디.어 カムバック🌟  #キムソノ コレクション.zip
📽 https://t.co/IFpnD5bVEg

#atstar1   #앳스타일
#TheChilde  #貴公子
#김선호 #KimSeonHo #キムソンホ https://t.co/nx4q1H7hDG"
110,2023-06-22 14:39:58+00:00,Mayxdz,#รีวิวดูหนังที่เกาหลี #TheChilde เข้าพอดี เลยถือโอกาสมาดู เราดูที่ Megabox สาขาฮงแด ซื้อบัตรจากตู้และจ่ายผ่านบัตรได้เลย เค้าจะให้เราเข้าโรงตอน 10 นาทีล่วงหน้าก่อนหนังฉาย และชั้นโรงหนังจะแยกกับชั้นที่ขายตั๋ว ใครมาเร็วก็นั่งรอที่ชั้นขายตั๋วได้ เพราะชั้นโรงหนังจะไม่มีที่ให้นั่งรอ https://t.co/ijpCgMmm19
111,2023-06-22 14:38:35+00:00,mocicom_,"hari keempat nonton #TheChilde di CP abis pulang kerja. lumayan penuh studionya..
bonus foto terkapar ditembak gongja (lagi) 🤣 https://t.co/FlRGpCzau1"
112,2023-06-22 14:37:03+00:00,moonttash,"Kim Seonho impression of his debut in film #TheChilde

“I have mixed feelings. As an actor, I have anticipation, excitement, and fear as to how people will view my performance.” https://t.co/TtYgzDft75"
113,2023-06-22 14:31:49+00:00,sunsetsinyou,"Another review #TheChilde dari temenku yang non-shhd:
Intinya BAGUS 👍🏻
Btw dia cowok dan nonton sendiri 👍🏻 mana pamer dapet tiketnya lagi 🤩 https://t.co/Eep1RzOHm5"
